Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
400;2.69;0.000581;2.69;92.9;92.8;0.9988
450;2.54;0.000519;2.54;112;112;0.9989
500;2.43;0.00047;2.43;132;132;0.9989
550;2.34;0.000429;2.34;153;153;0.9989
600;2.27;0.000395;2.27;175;175;0.999
650;2.2;0.000366;2.2;197;197;0.999
700;2.15;0.000341;2.15;220;220;0.999
750;2.11;0.00032;2.11;244;244;0.999
800;2.07;0.000301;2.07;268;267;0.999
850;2.04;0.000284;2.04;292;292;0.9991
900;2.01;0.000269;2.01;317;317;0.9991
950;1.98;0.000256;1.98;342;342;0.9991
1000;1.96;0.000244;1.96;367;367;0.9991
1500;1.85;0.000166;1.85;631;631;0.9992
2000;1.82;0.000127;1.82;904;904;0.9993
2500;1.82;0.000103;1.82;1180;1180;0.9994
3000;1.83;8.66E-05;1.83;1450;1450;0.9994
4000;1.86;6.61E-05;1.86;2000;2000;0.9995
5000;1.9;5.36E-05;1.9;2530;2530;0.9996
6000;1.93;4.52E-05;1.93;3050;3050;0.9996
7000;1.97;3.91E-05;1.97;3560;3560;0.9997
8000;2;3.45E-05;2;4070;4070;0.9997
9000;2.03;3.09E-05;2.03;4560;4560;0.9997
10000;2.05;2.8E-05;2.05;5050;5050;0.9997
