Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
4.00E+00;8.19E+01;4.44E-02;8.20E+01;2.84E-02;2.83E-02;0.9966
4.50E+00;7.49E+01;3.99E-02;7.49E+01;3.48E-02;3.47E-02;0.9968
5.00E+00;6.91E+01;3.62E-02;6.91E+01;4.17E-02;4.16E-02;0.9969
5.50E+00;6.41E+01;3.32E-02;6.42E+01;4.93E-02;4.91E-02;0.9971
6.00E+00;5.99E+01;3.06E-02;6.00E+01;5.73E-02;5.72E-02;0.9972
6.50E+00;5.63E+01;2.84E-02;5.63E+01;6.59E-02;6.57E-02;0.9973
7.00E+00;5.31E+01;2.65E-02;5.32E+01;7.51E-02;7.49E-02;0.9973
7.50E+00;5.03E+01;2.49E-02;5.03E+01;8.47E-02;8.45E-02;0.9974
8.00E+00;4.78E+01;2.35E-02;4.78E+01;9.49E-02;9.47E-02;0.9975
8.50E+00;4.56E+01;2.22E-02;4.56E+01;1.06E-01;1.05E-01;0.9975
9.00E+00;4.36E+01;2.10E-02;4.36E+01;1.17E-01;1.17E-01;0.9976
9.50E+00;4.17E+01;2.00E-02;4.17E+01;1.29E-01;1.28E-01;0.9976
1.00E+01;4.00E+01;1.91E-02;4.01E+01;1.41E-01;1.41E-01;0.9976
1.25E+01;3.35E+01;1.55E-02;3.35E+01;2.09E-01;2.09E-01;0.9978
1.50E+01;2.89E+01;1.30E-02;2.89E+01;2.90E-01;2.89E-01;0.9979
1.75E+01;2.55E+01;1.13E-02;2.56E+01;3.82E-01;3.81E-01;0.9979
2.00E+01;2.29E+01;9.95E-03;2.29E+01;4.86E-01;4.85E-01;0.998
2.50E+01;1.91E+01;8.07E-03;1.92E+01;7.25E-01;7.24E-01;0.9981
2.75E+01;1.77E+01;7.37E-03;1.77E+01;8.61E-01;8.59E-01;0.9981
3.00E+01;1.65E+01;6.79E-03;1.65E+01;1.01E+00;1.01E+00;0.9981
3.50E+01;1.46E+01;5.87E-03;1.46E+01;1.33E+00;1.33E+00;0.9982
4.00E+01;1.31E+01;5.17E-03;1.31E+01;1.69E+00;1.69E+00;0.9982
4.50E+01;1.19E+01;4.63E-03;1.19E+01;2.09E+00;2.09E+00;0.9983
5.00E+01;1.10E+01;4.19E-03;1.10E+01;2.53E+00;2.52E+00;0.9983
5.50E+01;1.02E+01;3.83E-03;1.02E+01;3.00E+00;3.00E+00;0.9983
6.00E+01;9.51E+00;3.52E-03;9.52E+00;3.51E+00;3.50E+00;0.9983
6.50E+01;8.94E+00;3.27E-03;8.94E+00;4.05E+00;4.05E+00;0.9984
7.00E+01;8.44E+00;3.04E-03;8.44E+00;4.63E+00;4.62E+00;0.9984
7.50E+01;8.00E+00;2.85E-03;8.01E+00;5.24E+00;5.23E+00;0.9984
8.00E+01;7.62E+00;2.68E-03;7.62E+00;5.88E+00;5.87E+00;0.9984
8.50E+01;7.28E+00;2.53E-03;7.28E+00;6.55E+00;6.54E+00;0.9984
9.00E+01;6.97E+00;2.40E-03;6.97E+00;7.25E+00;7.24E+00;0.9984
9.50E+01;6.69E+00;2.28E-03;6.69E+00;7.98E+00;7.97E+00;0.9985
1.00E+02;6.44E+00;2.17E-03;6.44E+00;8.74E+00;8.73E+00;0.9985
1.25E+02;5.47E+00;1.75E-03;5.48E+00;1.30E+01;1.30E+01;0.9985
1.50E+02;4.82E+00;1.48E-03;4.82E+00;1.79E+01;1.78E+01;0.9986
1.75E+02;4.34E+00;1.27E-03;4.34E+00;2.33E+01;2.33E+01;0.9986
2.00E+02;3.98E+00;1.12E-03;3.98E+00;2.94E+01;2.93E+01;0.9986
2.25E+02;3.69E+00;1.00E-03;3.69E+00;3.59E+01;3.59E+01;0.9987
2.50E+02;3.46E+00;9.08E-04;3.46E+00;4.29E+01;4.28E+01;0.9987
2.75E+02;3.27E+00;8.29E-04;3.28E+00;5.03E+01;5.03E+01;0.9987
3.00E+02;3.12E+00;7.63E-04;3.12E+00;5.82E+01;5.81E+01;0.9987
3.50E+02;2.87E+00;6.59E-04;2.87E+00;7.49E+01;7.48E+01;0.9988
4.00E+02;2.69E+00;5.81E-04;2.69E+00;9.29E+01;9.28E+01;0.9988
4.50E+02;2.54E+00;5.19E-04;2.54E+00;1.12E+02;1.12E+02;0.9989
5.00E+02;2.43E+00;4.70E-04;2.43E+00;1.32E+02;1.32E+02;0.9989
5.50E+02;2.34E+00;4.29E-04;2.34E+00;1.53E+02;1.53E+02;0.9989
6.00E+02;2.27E+00;3.95E-04;2.27E+00;1.75E+02;1.75E+02;0.999
6.50E+02;2.20E+00;3.66E-04;2.20E+00;1.97E+02;1.97E+02;0.999
7.00E+02;2.15E+00;3.41E-04;2.15E+00;2.20E+02;2.20E+02;0.999
7.50E+02;2.11E+00;3.20E-04;2.11E+00;2.44E+02;2.44E+02;0.999
8.00E+02;2.07E+00;3.01E-04;2.07E+00;2.68E+02;2.67E+02;0.999
8.50E+02;2.04E+00;2.84E-04;2.04E+00;2.92E+02;2.92E+02;0.9991
9.00E+02;2.01E+00;2.69E-04;2.01E+00;3.17E+02;3.17E+02;0.9991
9.50E+02;1.98E+00;2.56E-04;1.98E+00;3.42E+02;3.42E+02;0.9991
1.00E+03;1.96E+00;2.44E-04;1.96E+00;3.67E+02;3.67E+02;0.9991
1.50E+03;1.85E+00;1.66E-04;1.85E+00;6.31E+02;6.31E+02;0.9992
2.00E+03;1.82E+00;1.27E-04;1.82E+00;9.04E+02;9.04E+02;0.9993
2.50E+03;1.82E+00;1.03E-04;1.82E+00;1.18E+03;1.18E+03;0.9994
3.00E+03;1.83E+00;8.66E-05;1.83E+00;1.45E+03;1.45E+03;0.9994
4.00E+03;1.86E+00;6.61E-05;1.86E+00;2.00E+03;2.00E+03;0.9995
5.00E+03;1.90E+00;5.36E-05;1.90E+00;2.53E+03;2.53E+03;0.9996
6.00E+03;1.93E+00;4.52E-05;1.93E+00;3.05E+03;3.05E+03;0.9996
7.00E+03;1.97E+00;3.91E-05;1.97E+00;3.56E+03;3.56E+03;0.9997
8.00E+03;2.00E+00;3.45E-05;2.00E+00;4.07E+03;4.07E+03;0.9997
9.00E+03;2.03E+00;3.09E-05;2.03E+00;4.56E+03;4.56E+03;0.9997
1.00E+04;2.05E+00;2.80E-05;2.05E+00;5.05E+03;5.05E+03;0.9997
