Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
2.50E+00;4.04E+01;2.79E-02;4.04E+01;4.26E-02;3.95E-02;0.9272
2.75E+00;3.84E+01;2.58E-02;3.84E+01;4.90E-02;4.56E-02;0.9308
3.00E+00;3.66E+01;2.40E-02;3.67E+01;5.56E-02;5.20E-02;0.9339
3.50E+00;3.36E+01;2.11E-02;3.37E+01;6.99E-02;6.56E-02;0.9389
4.00E+00;3.12E+01;1.89E-02;3.12E+01;8.53E-02;8.04E-02;0.9427
4.50E+00;2.91E+01;1.71E-02;2.91E+01;1.02E-01;9.64E-02;0.9458
5.00E+00;2.74E+01;1.57E-02;2.74E+01;1.20E-01;1.13E-01;0.9483
5.50E+00;2.59E+01;1.45E-02;2.59E+01;1.38E-01;1.32E-01;0.9504
6.00E+00;2.45E+01;1.34E-02;2.45E+01;1.58E-01;1.51E-01;0.9522
6.50E+00;2.34E+01;1.26E-02;2.34E+01;1.79E-01;1.71E-01;0.9538
7.00E+00;2.23E+01;1.18E-02;2.23E+01;2.01E-01;1.92E-01;0.9552
7.50E+00;2.14E+01;1.11E-02;2.14E+01;2.24E-01;2.14E-01;0.9564
8.00E+00;2.05E+01;1.05E-02;2.05E+01;2.48E-01;2.37E-01;0.9575
8.50E+00;1.97E+01;1.00E-02;1.98E+01;2.73E-01;2.61E-01;0.9584
9.00E+00;1.90E+01;9.52E-03;1.90E+01;2.99E-01;2.86E-01;0.9593
9.50E+00;1.84E+01;9.09E-03;1.84E+01;3.25E-01;3.12E-01;0.9601
1.00E+01;1.78E+01;8.70E-03;1.78E+01;3.53E-01;3.39E-01;0.9608
1.25E+01;1.54E+01;7.18E-03;1.54E+01;5.05E-01;4.86E-01;0.9638
1.50E+01;1.36E+01;6.13E-03;1.36E+01;6.78E-01;6.55E-01;0.9658
1.75E+01;1.22E+01;5.36E-03;1.22E+01;8.72E-01;8.44E-01;0.9674
2.00E+01;1.12E+01;4.77E-03;1.12E+01;1.09E+00;1.05E+00;0.9687
2.50E+01;9.55E+00;3.92E-03;9.55E+00;1.57E+00;1.53E+00;0.9706
2.75E+01;8.93E+00;3.61E-03;8.93E+00;1.84E+00;1.79E+00;0.9713
3.00E+01;8.39E+00;3.34E-03;8.40E+00;2.13E+00;2.07E+00;0.972
3.50E+01;7.51E+00;2.92E-03;7.52E+00;2.76E+00;2.69E+00;0.973
4.00E+01;6.82E+00;2.59E-03;6.83E+00;3.46E+00;3.37E+00;0.9739
4.50E+01;6.26E+00;2.33E-03;6.27E+00;4.23E+00;4.12E+00;0.9746
5.00E+01;5.80E+00;2.13E-03;5.81E+00;5.06E+00;4.93E+00;0.9752
5.50E+01;5.42E+00;1.95E-03;5.42E+00;5.95E+00;5.80E+00;0.9757
6.00E+01;5.09E+00;1.81E-03;5.09E+00;6.90E+00;6.74E+00;0.9761
6.50E+01;4.80E+00;1.68E-03;4.81E+00;7.91E+00;7.73E+00;0.9765
7.00E+01;4.56E+00;1.57E-03;4.56E+00;8.98E+00;8.77E+00;0.9769
7.50E+01;4.34E+00;1.48E-03;4.34E+00;1.01E+01;9.88E+00;0.9772
8.00E+01;4.15E+00;1.40E-03;4.15E+00;1.13E+01;1.10E+01;0.9775
8.50E+01;3.97E+00;1.32E-03;3.97E+00;1.25E+01;1.22E+01;0.9778
9.00E+01;3.82E+00;1.26E-03;3.82E+00;1.38E+01;1.35E+01;0.9781
9.50E+01;3.68E+00;1.20E-03;3.68E+00;1.51E+01;1.48E+01;0.9783
1.00E+02;3.55E+00;1.14E-03;3.55E+00;1.65E+01;1.62E+01;0.9785
1.25E+02;3.06E+00;9.33E-04;3.06E+00;2.41E+01;2.36E+01;0.9794
1.50E+02;2.71E+00;7.91E-04;2.71E+00;3.28E+01;3.22E+01;0.9802
1.75E+02;2.46E+00;6.87E-04;2.46E+00;4.25E+01;4.17E+01;0.9808
2.00E+02;2.27E+00;6.08E-04;2.27E+00;5.31E+01;5.21E+01;0.9813
2.25E+02;2.12E+00;5.46E-04;2.12E+00;6.45E+01;6.34E+01;0.9818
2.50E+02;2.00E+00;4.96E-04;2.00E+00;7.67E+01;7.53E+01;0.9822
2.75E+02;1.90E+00;4.54E-04;1.90E+00;8.96E+01;8.80E+01;0.9826
3.00E+02;1.81E+00;4.19E-04;1.81E+00;1.03E+02;1.01E+02;0.9829
3.50E+02;1.68E+00;3.64E-04;1.68E+00;1.32E+02;1.30E+02;0.9836
4.00E+02;1.58E+00;3.22E-04;1.58E+00;1.63E+02;1.60E+02;0.9841
4.50E+02;1.50E+00;2.88E-04;1.50E+00;1.95E+02;1.92E+02;0.9846
5.00E+02;1.44E+00;2.62E-04;1.44E+00;2.29E+02;2.26E+02;0.985
5.50E+02;1.39E+00;2.39E-04;1.39E+00;2.65E+02;2.61E+02;0.9854
6.00E+02;1.35E+00;2.21E-04;1.35E+00;3.01E+02;2.97E+02;0.9858
6.50E+02;1.31E+00;2.05E-04;1.31E+00;3.39E+02;3.34E+02;0.9862
7.00E+02;1.29E+00;1.91E-04;1.29E+00;3.77E+02;3.72E+02;0.9865
7.50E+02;1.26E+00;1.80E-04;1.26E+00;4.17E+02;4.11E+02;0.9868
8.00E+02;1.24E+00;1.69E-04;1.24E+00;4.57E+02;4.51E+02;0.9871
8.50E+02;1.22E+00;1.60E-04;1.22E+00;4.97E+02;4.91E+02;0.9873
9.00E+02;1.21E+00;1.52E-04;1.21E+00;5.38E+02;5.32E+02;0.9876
9.50E+02;1.20E+00;1.44E-04;1.20E+00;5.80E+02;5.73E+02;0.9878
1.00E+03;1.19E+00;1.37E-04;1.19E+00;6.22E+02;6.14E+02;0.9881
1.50E+03;1.13E+00;9.42E-05;1.13E+00;1.06E+03;1.05E+03;0.9898
2.00E+03;1.12E+00;7.21E-05;1.12E+00;1.50E+03;1.49E+03;0.991
2.50E+03;1.12E+00;5.85E-05;1.12E+00;1.95E+03;1.93E+03;0.9919
3.00E+03;1.14E+00;4.94E-05;1.14E+00;2.39E+03;2.37E+03;0.9926
4.00E+03;1.16E+00;3.78E-05;1.16E+00;3.26E+03;3.24E+03;0.9936
5.00E+03;1.19E+00;3.07E-05;1.19E+00;4.11E+03;4.09E+03;0.9944
6.00E+03;1.21E+00;2.59E-05;1.21E+00;4.95E+03;4.92E+03;0.9949
7.00E+03;1.23E+00;2.25E-05;1.23E+00;5.77E+03;5.74E+03;0.9954
8.00E+03;1.25E+00;1.99E-05;1.25E+00;6.57E+03;6.54E+03;0.9957
9.00E+03;1.27E+00;1.78E-05;1.27E+00;7.36E+03;7.33E+03;0.996
1.00E+04;1.29E+00;1.61E-05;1.29E+00;8.14E+03;8.11E+03;0.9962
