Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
2.75E+00;6.55E+01;4.26E-02;6.56E+01;2.74E-02;2.67E-02;0.9752
3.00E+00;6.20E+01;3.95E-02;6.20E+01;3.13E-02;3.05E-02;0.9767
3.50E+00;5.61E+01;3.46E-02;5.61E+01;3.98E-02;3.89E-02;0.979
4.00E+00;5.13E+01;3.08E-02;5.14E+01;4.91E-02;4.81E-02;0.9807
4.50E+00;4.74E+01;2.78E-02;4.75E+01;5.92E-02;5.82E-02;0.9821
5.00E+00;4.42E+01;2.53E-02;4.42E+01;7.02E-02;6.90E-02;0.9831
5.50E+00;4.14E+01;2.33E-02;4.14E+01;8.19E-02;8.05E-02;0.984
6.00E+00;3.89E+01;2.16E-02;3.90E+01;9.43E-02;9.29E-02;0.9847
6.50E+00;3.68E+01;2.01E-02;3.69E+01;1.08E-01;1.06E-01;0.9853
7.00E+00;3.50E+01;1.89E-02;3.50E+01;1.21E-01;1.20E-01;0.9858
7.50E+00;3.33E+01;1.77E-02;3.33E+01;1.36E-01;1.34E-01;0.9862
8.00E+00;3.18E+01;1.68E-02;3.18E+01;1.52E-01;1.49E-01;0.9866
8.50E+00;3.05E+01;1.59E-02;3.05E+01;1.68E-01;1.65E-01;0.987
9.00E+00;2.92E+01;1.51E-02;2.92E+01;1.84E-01;1.82E-01;0.9873
9.50E+00;2.81E+01;1.44E-02;2.81E+01;2.02E-01;1.99E-01;0.9875
1.00E+01;2.71E+01;1.38E-02;2.71E+01;2.20E-01;2.17E-01;0.9878
1.25E+01;2.30E+01;1.13E-02;2.30E+01;3.20E-01;3.17E-01;0.9887
1.50E+01;2.01E+01;9.58E-03;2.01E+01;4.37E-01;4.32E-01;0.9894
1.75E+01;1.79E+01;8.34E-03;1.79E+01;5.69E-01;5.63E-01;0.9898
2.00E+01;1.62E+01;7.40E-03;1.62E+01;7.16E-01;7.09E-01;0.9902
2.50E+01;1.37E+01;6.05E-03;1.37E+01;1.05E+00;1.04E+00;0.9907
2.75E+01;1.27E+01;5.55E-03;1.27E+01;1.24E+00;1.23E+00;0.9909
3.00E+01;1.19E+01;5.12E-03;1.19E+01;1.45E+00;1.43E+00;0.9911
3.50E+01;1.06E+01;4.45E-03;1.06E+01;1.89E+00;1.88E+00;0.9914
4.00E+01;9.57E+00;3.94E-03;9.58E+00;2.39E+00;2.37E+00;0.9917
4.50E+01;8.76E+00;3.54E-03;8.76E+00;2.94E+00;2.91E+00;0.9918
5.00E+01;8.09E+00;3.21E-03;8.09E+00;3.53E+00;3.50E+00;0.992
5.50E+01;7.53E+00;2.94E-03;7.53E+00;4.17E+00;4.14E+00;0.9922
6.00E+01;7.05E+00;2.72E-03;7.06E+00;4.86E+00;4.82E+00;0.9923
6.50E+01;6.64E+00;2.52E-03;6.65E+00;5.59E+00;5.55E+00;0.9924
7.00E+01;6.29E+00;2.36E-03;6.29E+00;6.36E+00;6.31E+00;0.9925
7.50E+01;5.98E+00;2.21E-03;5.98E+00;7.18E+00;7.12E+00;0.9926
8.00E+01;5.70E+00;2.08E-03;5.70E+00;8.03E+00;7.98E+00;0.9927
8.50E+01;5.45E+00;1.97E-03;5.46E+00;8.93E+00;8.87E+00;0.9928
9.00E+01;5.23E+00;1.87E-03;5.23E+00;9.87E+00;9.80E+00;0.9928
9.50E+01;5.03E+00;1.77E-03;5.03E+00;1.08E+01;1.08E+01;0.9929
1.00E+02;4.85E+00;1.69E-03;4.85E+00;1.19E+01;1.18E+01;0.993
1.25E+02;4.15E+00;1.37E-03;4.15E+00;1.75E+01;1.73E+01;0.9933
1.50E+02;3.66E+00;1.16E-03;3.66E+00;2.39E+01;2.37E+01;0.9935
1.75E+02;3.31E+00;1.00E-03;3.31E+00;3.11E+01;3.09E+01;0.9937
2.00E+02;3.04E+00;8.85E-04;3.04E+00;3.90E+01;3.87E+01;0.9938
2.25E+02;2.83E+00;7.93E-04;2.83E+00;4.75E+01;4.72E+01;0.994
2.50E+02;2.66E+00;7.18E-04;2.66E+00;5.66E+01;5.63E+01;0.9941
2.75E+02;2.52E+00;6.56E-04;2.52E+00;6.63E+01;6.59E+01;0.9942
3.00E+02;2.40E+00;6.05E-04;2.40E+00;7.65E+01;7.60E+01;0.9944
3.50E+02;2.21E+00;5.23E-04;2.21E+00;9.82E+01;9.77E+01;0.9946
4.00E+02;2.07E+00;4.61E-04;2.07E+00;1.22E+02;1.21E+02;0.9947
4.50E+02;1.97E+00;4.13E-04;1.97E+00;1.46E+02;1.46E+02;0.9949
5.00E+02;1.88E+00;3.74E-04;1.88E+00;1.72E+02;1.72E+02;0.995
5.50E+02;1.81E+00;3.42E-04;1.81E+00;2.00E+02;1.99E+02;0.9952
6.00E+02;1.75E+00;3.15E-04;1.75E+00;2.28E+02;2.27E+02;0.9953
6.50E+02;1.71E+00;2.92E-04;1.71E+00;2.57E+02;2.55E+02;0.9954
7.00E+02;1.67E+00;2.72E-04;1.67E+00;2.86E+02;2.85E+02;0.9955
7.50E+02;1.63E+00;2.55E-04;1.63E+00;3.16E+02;3.15E+02;0.9956
8.00E+02;1.60E+00;2.40E-04;1.60E+00;3.47E+02;3.46E+02;0.9957
8.50E+02;1.58E+00;2.27E-04;1.58E+00;3.79E+02;3.77E+02;0.9958
9.00E+02;1.56E+00;2.15E-04;1.56E+00;4.11E+02;4.09E+02;0.9959
9.50E+02;1.54E+00;2.04E-04;1.54E+00;4.43E+02;4.41E+02;0.996
1.00E+03;1.52E+00;1.95E-04;1.52E+00;4.76E+02;4.74E+02;0.996
1.50E+03;1.43E+00;1.33E-04;1.43E+00;8.16E+02;8.14E+02;0.9966
2.00E+03;1.41E+00;1.02E-04;1.41E+00;1.17E+03;1.17E+03;0.997
2.50E+03;1.40E+00;8.24E-05;1.40E+00;1.53E+03;1.52E+03;0.9973
3.00E+03;1.41E+00;6.94E-05;1.41E+00;1.88E+03;1.88E+03;0.9975
4.00E+03;1.43E+00;5.31E-05;1.43E+00;2.59E+03;2.58E+03;0.9979
5.00E+03;1.45E+00;4.31E-05;1.45E+00;3.28E+03;3.27E+03;0.9981
6.00E+03;1.48E+00;3.63E-05;1.48E+00;3.96E+03;3.96E+03;0.9983
7.00E+03;1.50E+00;3.15E-05;1.50E+00;4.63E+03;4.63E+03;0.9984
8.00E+03;1.52E+00;2.78E-05;1.52E+00;5.30E+03;5.29E+03;0.9986
9.00E+03;1.54E+00;2.49E-05;1.54E+00;5.95E+03;5.95E+03;0.9987
1.00E+04;1.55E+00;2.26E-05;1.55E+00;6.60E+03;6.59E+03;0.9987
