Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.50E+00;1.35E+02;9.76E-02;1.36E+02;7.11E-03;7.02E-03;0.987
1.75E+00;1.22E+02;8.53E-02;1.22E+02;9.06E-03;8.95E-03;0.9885
2.00E+00;1.12E+02;7.59E-02;1.12E+02;1.12E-02;1.11E-02;0.9895
2.25E+00;1.03E+02;6.84E-02;1.03E+02;1.35E-02;1.34E-02;0.9903
2.50E+00;9.58E+01;6.24E-02;9.59E+01;1.61E-02;1.59E-02;0.991
2.75E+00;8.96E+01;5.73E-02;8.97E+01;1.87E-02;1.86E-02;0.9915
3.00E+00;8.43E+01;5.31E-02;8.43E+01;2.16E-02;2.14E-02;0.9919
3.50E+00;7.55E+01;4.63E-02;7.55E+01;2.79E-02;2.77E-02;0.9925
4.00E+00;6.86E+01;4.11E-02;6.86E+01;3.49E-02;3.46E-02;0.993
4.50E+00;6.29E+01;3.70E-02;6.30E+01;4.25E-02;4.22E-02;0.9934
5.00E+00;5.82E+01;3.37E-02;5.83E+01;5.07E-02;5.04E-02;0.9937
5.50E+00;5.43E+01;3.09E-02;5.43E+01;5.96E-02;5.93E-02;0.9939
6.00E+00;5.09E+01;2.86E-02;5.09E+01;6.91E-02;6.87E-02;0.9941
6.50E+00;4.79E+01;2.66E-02;4.80E+01;7.93E-02;7.88E-02;0.9943
7.00E+00;4.53E+01;2.49E-02;4.54E+01;9.00E-02;8.95E-02;0.9944
7.50E+00;4.30E+01;2.34E-02;4.31E+01;1.01E-01;1.01E-01;0.9946
8.00E+00;4.10E+01;2.20E-02;4.10E+01;1.13E-01;1.13E-01;0.9947
8.50E+00;3.91E+01;2.09E-02;3.92E+01;1.26E-01;1.25E-01;0.9948
9.00E+00;3.75E+01;1.98E-02;3.75E+01;1.39E-01;1.38E-01;0.9949
9.50E+00;3.60E+01;1.88E-02;3.60E+01;1.52E-01;1.52E-01;0.995
1.00E+01;3.46E+01;1.80E-02;3.46E+01;1.67E-01;1.66E-01;0.995
1.25E+01;2.91E+01;1.47E-02;2.91E+01;2.46E-01;2.45E-01;0.9953
